Column 1,Column 2
6,6
A48.5 A05.1 
K75.0 A06.4 
K75.0 K83.09
K75.0 K75.1 
G07   A06.6 
G07   B43.1 
G07   A54.82
G07   A17.81
G07   A17.1 
N51   A06.8 
N51   B37.42
N51   A54.23
N51   A54.22
N51   A60.01
N51   A59.02
N51   A18.14
N48.1 A06.8 
N48.1 N48.0 
N48.1 B37.4 
N48.1 A54.23
N48.1 A60.01
B60   A07.2 
B60   A07.8 
B60   A07.3 
J98.11A15    
J60   A15   
J60   J65   
J62   A15   
J62   J65   
J63   A15   
J63   J65   
J63   A15   
J63   J65   
A15.4 A15.7 
A15.6 A15.7 
G06.0 A17.81
G06.1 A17.81
A17.0 A17.82
H70.1 A18.03
N73.1 A18.17
N73.4 A18.17
A18.83A18.32
L52   A18.4 
H66.3 A18.6 
A04.6 A28.2 
I68.2 A32.89
I68.2 M32.19
I68.2 A52.04
I68.2 A18.89
A35   A34   
A35   A33   
J03.8 A36.0  
J03.8 B00.2  
J03.8 J03.0  
J03.8 A15.8  
J03.8 A69.1  
A41.4 A48.0  
A05.1 A48.51 
A05.1 A48.52
Z16   A49.02
Z16   J15.212
Z16   A41.02
P28.89A50.05
A53.9 A50.2 
G94   A50.49
G94   J09.X9
G94   J10.81
G94   J11.81
G94   A52.19
G94   G91.4 
K00.2 A50.5 
K00.4 A50.5 
A50.3 A50.53 
A50.4 A50.53 
A52.79A51.39
I79.0 A52.01
I79.1 A52.02
I60   A52.05
I68.8 A52.05
G32.0 A52.11
H46.1 A52.15
H57.01A52.19
H75.0 A52.77
H75.0 A18.03
A51.39A52.79
K23   A52.79
K23   B57.31
K23   A18.83
N77.0 A54.02
N77.0 A60.04
N77.0 A51.0 
N77.0 A18.18
A54.0 A54.1 
A54.0 A54.1 
A54.85A54.24
N70   A54.24
N70   A18.17
P39.1 A54.31
G01   A54.81
G01   A27.81
G01   A32.11
G01   A69.21
G01   A39.0 
G01   A52.13
G01   A17.0 
G01   G05   
I52   A54.83 
I52   A39.50
I52   M05.31
I52   A52.06
A54.24A54.85
L86   A54.89
L86   A54.89
L86   E50.8  
L86   E50.8  
L86   E50.8  
N74   A56.0  
N74   A56.11
N74   A54.03
N74   A54.24
N74   A60.03
N74   A60.09
N74   A52.76
N74   A52.76
N74   A59.09
N74   A18.16
N74   A18.17
R85.81A63.0 
R85.81A63.0 
R87.81A63.0 
R87.81A63.0 
B33.8 A63.0 
B33.8 B07      
M67.4 A66.6 
K12   A69.0 
K12   K13.0 
K12   A69.0 
K12   B00.2 
K12   A69.0 
K12.1 A69.1 
K12.1 A69.1 
K05.0 A69.1 
K05.0 B00.2 
K67   A74.81
K67   A36.89
K67   A54.85
K67   A52.74
K67   A18.31
A75   A79.81
A77.4 A79.82
A77.4 A79.81
B05   A81.1 
A88   A86   
A88   A87.9 
H82   A88.1 
H81   A88.1 
H81   R42   
A90   A91   
A98   A92.0 
A98   A91   
A85.2 A92.31
B08   A93.8   
B33.4 A98.5  
B33.4 A98.5  
B30   B00.5  
B30   B02.3  
L03.01B00.89
G04.01B01.1 
G04.01B05.0 
G04.01B05.1 
G51.1 B02.21
H94.0 B02.29
H94.0 A52.15
T88.1 B08.011
B97.3 B20   
D89.89B20   
R62.5 B20   
R62.5 E45   
Z21   B20   
Z21   Z20.6 
Z21   Z20.6 
Z21   B20   
Z21   R75   
K87   B25.2  
K87   B26.3  
K87   A52.74
K87   A52.74
K87   A18.83
K87   A18.83
R07   B33.0  
R07.81B33.0  
A92   B33.1  
I32   B33.23
I32   A54.83
I32   A39.53
I32   M05.31
I32   A52.06
I32   M32.12
I32   A18.84
I43   B33.24
I43   A36.81
I43   D86.85
I43   A18.84
A98.5 B33.4  
N77.1 B37.3  
N77.1 A56.02
N77.1 A54.02
N77.1 A60.04
N77.1 A59.01
N77.1 A18.18
N77.1 A51.0 
N77.1 A52.76
N37   B37.41
N37   A56.01
N37   A54.01
N37   A52.76
N37   A59.03
N37   A18.13
I39   B37.6 
I39   A54.83
I39   M32.11
I39   A32.82
I39   A39.51
I39   M05.31
I39   A52.03
I39   A18.84
I39   A01.02
H62.4 B37.84
H62.4 B00.1 
H62.4 B02.8 
B48.2 B47.0 
A42   B47.1 
A48   B47.1 
D77   B51.0 
D77   A52.79
D77   A18.85
I41   B57.2 
I41   B57.0 
I41   B33.22
I41   A36.81
I41   A54.83
I41   J09.X9
I41   J10.82
I41   J11.82
I41   A39.52
I41   B26.82
I41   M05.31
I41   D86.85
I41   A52.06
I41   B58.81
I41   A18.84
H32   B58.01
H32   A18.53
