Diagnosis Code,Procedure Code
H10.411,95115
H10.412,95115
H10.413,95115
H10.411,95117
H10.412,95117
H10.413,95117
H10.411,95144
H10.412,95144
H10.413,95144
H10.411,95145
H10.412,95145
H10.413,95145
H10.411,95146
H10.412,95146
H10.413,95146
H10.411,95147
H10.412,95147
H10.413,95147
H10.411,95148
H10.412,95148
H10.413,95148
H10.411,95149
H10.412,95149
H10.413,95149
H10.411,95165
H10.412,95165
H10.413,95165
H10.411,95199
H10.412,95199
H10.413,95199
H02.411,67909
H02.412,67909
H02.413,67909
H02.411,67911
H02.412,67911
H02.413,67911
H02.411,67914
H02.412,67914
H02.413,67914
H02.411,67915
H02.412,67915
H02.413,67915
H02.411,67916
H02.412,67916
H02.413,67916
H02.411,67917
H02.412,67917
H02.413,67917
H02.411,67921
H02.412,67921
H02.413,67921
H02.411,67922
H02.412,67922
H02.413,67922
H02.411,67923
H02.412,67923
H02.413,67923
H02.411,67924
H02.412,67924
H02.413,67924
H02.421,67909
H02.422,67909
H02.423,67909
H02.421,67911
H02.422,67911
H02.423,67911
H02.421,67914
H02.422,67914
H02.423,67914
H02.421,67915
H02.422,67915
H02.423,67915
H02.421,67916
H02.422,67916
H02.423,67916
H02.421,67917
H02.422,67917
H02.423,67917
H02.421,67921
H02.422,67921
H02.423,67921
H02.421,67922
H02.422,67922
H02.423,67922
H02.421,67923
H02.422,67923
H02.423,67923
H02.421,67924
H02.422,67924
H02.423,67924
H02.431,67909
H02.432,67909
H02.433,67909
H02.431,67911
H02.432,67911
H02.433,67911
H02.431,67914
H02.432,67914
H02.433,67914
H02.431,67915
H02.432,67915
H02.433,67915
H02.431,67916
H02.432,67916
H02.433,67916
H02.431,67917
H02.432,67917
H02.433,67917
H02.431,67921
H02.432,67921
H02.433,67921
H02.431,67922
H02.432,67922
H02.433,67922
H02.431,67923
H02.432,67923
H02.433,67923
H02.431,67924
H02.432,67924
H02.433,67924
H04.521,67909
H04.522,67909
H04.523,67909
H04.521,67911
H04.522,67911
H04.523,67911
H04.521,67914
H04.522,67914
H04.523,67914
H04.521,67915
H04.522,67915
H04.523,67915
H04.521,67916
H04.522,67916
H04.523,67916
H04.521,67917
H04.522,67917
H04.523,67917
H04.521,67921
H04.522,67921
H04.523,67921
H04.521,67922
H04.522,67922
H04.523,67922
H04.521,67923
H04.522,67923
H04.523,67923
H04.521,67924
H04.522,67924
H04.523,67924
H26.411,66820
H26.412,66820
H26.413,66820
H26.411,66821
H26.412,66821
H26.413,66821
H26.491,66820
H26.492,66820
H26.493,66820
H26.491,66821
H26.492,66821
H26.493,66821
I25.708,75571
I25.709,75571
I25.710,75571
I25.708,75572
I25.709,75572
I25.710,75572
I25.708,75573
I25.709,75573
I25.710,75573
I25.708,75574
I25.709,75574
I25.710,75574
I25.718,75571
I25.719,75571
I25.720,75571
I25.718,75572
I25.719,75572
I25.720,75572
I25.718,75573
I25.719,75573
I25.720,75573
I25.718,75574
I25.719,75574
I25.720,75574
I25.728,75571
I25.729,75571
I25.730,75571
I25.728,75572
I25.729,75572
I25.730,75572
I25.728,75573
I25.729,75573
I25.730,75573
I25.728,75574
I25.729,75574
I25.730,75574
I25.758,75571
I25.759,75571
I25.760,75571
I25.758,75572
I25.759,75572
I25.760,75572
I25.758,75573
I25.759,75573
I25.760,75573
I25.758,75574
I25.759,75574
I25.760,75574
I25.810,75571
I25.811,75571
I25.812,75571
I25.810,75572
I25.811,75572
I25.812,75572
I25.810,75573
I25.811,75573
I25.812,75573
I25.810,75574
I25.811,75574
I25.812,75574
I25.708,78451
I25.709,78451
I25.710,78451
I25.711,78451
I25.708,78452
I25.709,78452
I25.710,78452
I25.711,78452
I25.708,78453
I25.709,78453
I25.710,78453
I25.711,78453
I25.708,78454
I25.709,78454
I25.710,78454
I25.711,78454
I25.708,78466
I25.709,78466
I25.710,78466
I25.711,78466
I25.708,78468
I25.709,78468
I25.710,78468
I25.711,78468
I25.708,78469
I25.709,78469
I25.710,78469
I25.711,78469
I25.708,78472
I25.709,78472
I25.710,78472
I25.711,78472
I25.708,78473
I25.709,78473
I25.710,78473
I25.711,78473
I25.708,78481
I25.709,78481
I25.710,78481
I25.711,78481
I25.708,78483
I25.709,78483
I25.710,78483
I25.711,78483
I25.708,78494
I25.709,78494
I25.710,78494
I25.711,78494
I25.708,78496
I25.709,78496
I25.710,78496
I25.711,78496
I25.708,93015
I25.709,93015
I25.710,93015
I25.711,93015
I25.708,93016
I25.709,93016
I25.710,93016
I25.711,93016
I25.708,93017
I25.709,93017
I25.710,93017
I25.711,93017
I25.708,93018
I25.709,93018
I25.710,93018
I25.711,93018
I25.708,A9500
I25.709,A9500
I25.710,A9500
I25.711,A9500
I25.708,A9501
I25.709,A9501
I25.710,A9501
I25.711,A9501
I25.708,A9502
I25.709,A9502
I25.710,A9502
I25.711,A9502
I25.708,A9505
I25.709,A9505
I25.710,A9505
I25.711,A9505
I25.708,A9512
I25.709,A9512
I25.710,A9512
I25.711,A9512
I25.708,A9538
I25.709,A9538
I25.710,A9538
I25.711,A9538
I25.708,A9560
I25.709,A9560
I25.710,A9560
I25.711,A9560
I25.708,J0153
I25.709,J0153
I25.710,J0153
I25.711,J0153
I25.708,J1245
I25.709,J1245
I25.710,J1245
I25.711,J1245
I25.708,J1250
I25.709,J1250
I25.710,J1250
I25.711,J1250
I25.708,J2785
I25.709,J2785
I25.710,J2785
I25.711,J2785
I25.718,78451
I25.719,78451
I25.720,78451
I25.721,78451
I25.718,78452
I25.719,78452
I25.720,78452
I25.721,78452
I25.718,78453
I25.719,78453
I25.720,78453
I25.721,78453
I25.718,78454
I25.719,78454
I25.720,78454
I25.721,78454
I25.718,78466
I25.719,78466
I25.720,78466
I25.721,78466
I25.718,78468
I25.719,78468
I25.720,78468
I25.721,78468
I25.718,78469
I25.719,78469
I25.720,78469
I25.721,78469
I25.718,78472
I25.719,78472
I25.720,78472
I25.721,78472
I25.718,78473
I25.719,78473
I25.720,78473
I25.721,78473
I25.718,78481
I25.719,78481
I25.720,78481
I25.721,78481
I25.718,78483
I25.719,78483
I25.720,78483
I25.721,78483
I25.718,78494
I25.719,78494
I25.720,78494
I25.721,78494
I25.718,78496
I25.719,78496
I25.720,78496
I25.721,78496
I25.718,93015
I25.719,93015
I25.720,93015
I25.721,93015
I25.718,93016
I25.719,93016
I25.720,93016
I25.721,93016
I25.718,93017
I25.719,93017
I25.720,93017
I25.721,93017
I25.718,93018
I25.719,93018
I25.720,93018
I25.721,93018
I25.718,A9500
I25.719,A9500
I25.720,A9500
I25.721,A9500
I25.718,A9501
I25.719,A9501
I25.720,A9501
I25.721,A9501
I25.718,A9502
I25.719,A9502
I25.720,A9502
I25.721,A9502
I25.718,A9505
I25.719,A9505
I25.720,A9505
I25.721,A9505
I25.718,A9512
I25.719,A9512
I25.720,A9512
I25.721,A9512
I25.718,A9538
