Place Of Service,Service Type,Plan,Group Size,In Network,Is Covered,Date Of Service Min,Date Of Service Max,Covered in Full,Copay,Coinsurance
Inpatient,dentalAccidental,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,dentalAccidental,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,dentalAccidental,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,dentalAccidental,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,dentalAccidental,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,dentalAccidental,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,acupuncture,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,acupuncture,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,acupuncture,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,acupuncture,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,adultImmunizations,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,adultImmunizations,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,adultImmunizations,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,adultImmunizations,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,adultImmunizations,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,adultImmunizations,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,adultPhysicalRoutine,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,adultPhysicalRoutine,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,adultPhysicalRoutine,PL123,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,adultPhysicalRoutine,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,adultPhysicalRoutine,PL123,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,adultPhysicalRoutine,PL123,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,allergyInjection,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,allergyInjection,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,allergyInjection,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,allergyInjection,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,allergyInjection,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,allergyInjection,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,allergyTesting,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,allergyTesting,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,allergyTesting,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,allergyTesting,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,allergyTesting,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,allergyTesting,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
